RefElement                                            |       Insert |       Remove |        Total |            σ
Framework.PtrElementHeap                              |      4.289ms |      112.1ms |      116.4ms |      11.29ms
Framework.ArrayHeap                                   |       17.5ms |      146.4ms |      163.9ms |      4.563ms
ArrayHeap                                             |      17.59ms |      146.6ms |      164.2ms |       5.59ms
-----------------------------------------------------------------------------------------------------------------

UnmanagedElement                                      |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                  |       4.47ms |      13.73ms |       18.2ms |     0.7403ms
NonCoWHeap                                            |      4.488ms |      13.74ms |      18.23ms |     0.7193ms
Framework.ClosureUnsafePointerHeap (local literal)    |      3.907ms |      17.03ms |      20.94ms |     0.6495ms
ClosureUnsafePointerHeap (local literal)              |      3.955ms |      17.06ms |      21.01ms |     0.9724ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.923ms |       17.1ms |      21.02ms |     0.7169ms
ClosureUnsafePointerHeap (argument literal)           |      3.964ms |      17.13ms |      21.09ms |     0.8537ms
ClosureArrayBufferHeap                                |      4.291ms |      16.87ms |      21.16ms |     0.6658ms
Framework.ClosureArrayBufferHeap                      |      4.281ms |       16.9ms |      21.18ms |     0.7228ms
UnsafePointerHeap                                     |      6.438ms |      16.12ms |      22.55ms |     0.8285ms
Framework.UnsafePointerHeap                           |      6.441ms |      16.13ms |      22.57ms |     0.6484ms
ClosureUnsafePointerHeap (local <)                    |      4.565ms |      20.96ms |      25.52ms |      1.007ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.585ms |      21.01ms |      25.59ms |      1.491ms
Framework.ClosureUnsafePointerHeap (argument <)       |      4.567ms |      21.34ms |      25.91ms |     0.7343ms
ClosureUnsafePointerHeap (argument <)                 |      4.597ms |      21.32ms |      25.92ms |     0.7408ms
ArrayPointerHeap (workaround)                         |      12.93ms |      29.93ms |      42.86ms |       1.17ms
ArrayPointerHeap                                      |      13.51ms |      30.52ms |      44.03ms |      1.331ms
Framework.ArrayPointerHeap                            |      13.63ms |       30.7ms |      44.33ms |      2.299ms
ManagedBufferHeap                                     |      20.67ms |      31.64ms |      52.31ms |      1.977ms
Framework.ManagedBufferHeap                           |      20.57ms |       31.8ms |      52.37ms |      2.108ms
ClosureManagedBufferHeap                              |      19.08ms |      34.69ms |      53.77ms |      2.559ms
Framework.ClosureManagedBufferHeap                    |      19.08ms |       34.8ms |      53.89ms |      1.654ms
ManagedBufferHeap (workaround)                        |      21.71ms |      33.74ms |      55.45ms |      1.734ms
PtrElementHeap                                        |       4.34ms |      111.4ms |      115.7ms |      2.917ms
Framework.PtrElementHeap                              |      4.406ms |      112.5ms |        117ms |      12.91ms
Framework.ArrayHeap                                   |      14.76ms |      120.9ms |      135.6ms |      3.976ms
ArrayHeap                                             |      14.83ms |      122.2ms |      137.1ms |      13.09ms
-----------------------------------------------------------------------------------------------------------------

